nom_annonce;url_annonce;prix;annee;kilometrage;puissance_cv;carburant;boite_vitesse;code_postal;age_voiture
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-1-2-hybrid-145ch-allure-e-dcs6-60740-saint-maximin-1019963;35999;2025;5;7;Essence;Automatique;60;1
Kia Sportage;https://www.autosphere.fr/fiche/auto-occasion-kia-sportage-1-6-crdi-115ch-isg-active-4x2-62800-lievin-241098;17799;2019;54156;6;Diesel;Manuelle;62;7
Opel Zafira;https://www.autosphere.fr/fiche/auto-occasion-opel-zafira-1-4-turbo-140ch-elite-62219-longuenesse-250868;14299;2018;86000;8;Essence;Manuelle;62;8
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-110ch-envy-e-dcs6-13300-salon-de-provence-37197;24999;2025;3;5;Essence;Automatique;13;1
Mercedes Vito;https://www.autosphere.fr/fiche4/auto-occasion-mercedes-vito-119-cdi-extra-long-select-propulsion-9g-tronic-38170-seyssinet-pariset-502234;32988;2020;98144;7;Diesel;Automatique;38;6
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-pack-79000-niort-1242821;13999;2023;27202;4;Essence;Manuelle;79;3
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-intense-design-4wd-62110-henin-beaumont-241324;27799;2023;40506;5;Hybride;Automatique;62;3
Skoda Kamiq;https://www.autosphere.fr/fiche/auto-occasion-skoda-kamiq-1-0-tsi-evo-110ch-business-08000-charleville-mezieres-222167;18799;2023;59833;6;Essence;Manuelle;8;3
Renault Kangoo Van;https://www.autosphere.fr/fiche/auto-occasion-renault-kangoo-van-l2-maxi-elec-gd-vol-gd-confort-achat-integral-19-62220-carvin-250707;17799;2022;15276;7;Electrique;Automatique;62;4
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-journey-62000-arras-451357;17299;2025;7207;5;Essence;Manuelle;62;1
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-limited-21n-02000-laon-250826;16499;2022;5600;5;Essence;Manuelle;2;4
Peugeot 308 Sw;https://www.autosphere.fr/fiche/auto-occasion-peugeot-308-sw-1-2-puretech-130ch-6-c-s-s-allure-64300-orthez-71351;10799;2018;63515;7;Essence;Manuelle;64;8
Suzuki S-Cross;https://www.autosphere.fr/fiche/auto-occasion-suzuki-s-cross-1-4-boosterjet-hybrid-129ch-style-my24-33700-merignac-9307;26690;2025;10;7;Essence;Manuelle;33;1
Dacia Spring;https://www.autosphere.fr/fiche4/auto-occasion-dacia-spring-45ch-confort-plus-achat-integral-38300-bourgoin-jallieu-233673;9588;2021;42730;2;Electrique;Automatique;38;5
Renault Arkana;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-3-tce-mild-hybrid-140ch-techno-edc-22-93250-villemomble-v123552;20499;2023;41487;7;Essence;Automatique;93;3
Citroen Berlingo;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-berlingo-taille-m-1-5-bluehdi-130ch-s-s-n1-feel-eat8-5-places-38000-grenoble-115571;28578;2025;100;7;Diesel;Automatique;38;1
Peugeot 508;https://www.autosphere.fr/fiche/auto-occasion-peugeot-508-puretech-180ch-s-s-active-eat8-10cv-37170-chambray-les-tours-700634;18499;2020;37766;10;Essence;Automatique;37;6
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-79000-niort-1242297;11999;2023;27417;4;Essence;Manuelle;79;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-hybride-145ch-evolution-59320-sequedin-233872;16799;2023;62993;5;Hybride;Automatique;59;3
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-79000-niort-1242635;11999;2023;39403;4;Essence;Manuelle;79;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-62231-coquelles-250955;14499;2023;28134;5;Essence;Manuelle;62;3
Renault Rafale;https://www.autosphere.fr/fiche/auto-occasion-renault-rafale-1-2-e-tech-full-hybrid-200ch-techno-02500-hirson-250520;39499;2025;20655;7;Hybride;Automatique;2;1
Renault Austral;https://www.autosphere.fr/fiche/auto-occasion-renault-austral-1-2-e-tech-full-hybrid-200ch-techno-51100-reims-047929;27499;2022;48188;7;Hybride;Automatique;51;4
Renault 5;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-5-e-tech-electrique-120ch-iconic-cinq-autonomie-urbaine-13100-aix-en-provence-6113i;31499;2025;2000;5;Electrique;Automatique;13;1
Renault Symbioz;https://www.autosphere.fr/fiche/auto-occasion-renault-symbioz-1-8-e-tech-full-hybrid-160ch-iconic-25-94400-vitry-sur-seine-st43752576;37500;2025;6500;6;Hybride;Automatique;94;1
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-allure-38000-grenoble-115255;13480;2008;55337;5;Essence;Manuelle;38;18
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-62110-henin-beaumont-241353;11499;2020;79225;5;Gpl;Manuelle;62;6
Bmw Série 1;https://www.autosphere.fr/fiche-mixte/auto-occasion-bmw-serie-1-118ia-136ch-dkg7-59650-villeneuve-d-ascq-2511743;25999;2023;24215;7;Essence;Automatique;59;3
Ford Fiesta;https://www.autosphere.fr/fiche/auto-occasion-ford-fiesta-1-0-ecoboost-125ch-cool-connect-dct-7-5p-59640-dunkerque-600994;13999;2020;76370;6;Essence;Automatique;59;6
Renault Captur;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-0-eco-g-100ch-evolution-01000-bourg-en-bresse-160402;17280;2023;35444;5;Gpl;Manuelle;1;3
Renault Twingo;https://www.autosphere.fr/fiche4/auto-occasion-renault-twingo-e-tech-electric-equilibre-r80-achat-integral-01000-bourg-en-bresse-160143;10980;2022;38876;3;Electrique;Automatique;1;4
Renault Zoé;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-life-charge-normale-r110-achat-integral-21-57155-marly-225620;11799;2021;31932;4;Electrique;Automatique;57;5
Volkswagen Golf;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-golf-1-5-etsi-opf-150ch-r-line-dsg7-86000-poitiers-403009;30799;2023;29804;8;Essence;Automatique;86;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-like-60005-beauvais-2016887;11499;2021;31035;4;Essence;Manuelle;60;5
Mercedes Classe A;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-classe-a-200-d-150ch-amg-line-8g-dct-51100-reims-r113236;38290;2025;4477;8;Diesel;Automatique;51;1
Peugeot 2008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-2008-1-2-puretech-110ch-gt-line-s-s-16430-champniers-127868;9800;2008;71345;5;Essence;Manuelle;16;18
Toyota Yaris Cross;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-cross-116h-dynamic-69410-champagne-au-mont-d-or-063856;22999;2024;36749;5;Hybride;Automatique;69;2
Citroen C3 Aircross;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-aircross-puretech-130ch-s-s-shine-e6-d-eat6-86000-poitiers-12092809;13799;2020;48291;6;Essence;Automatique;86;6
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-13300-salon-de-provence-36899;16999;2024;14206;5;Essence;Automatique;13;2
Mg Mg4;https://www.autosphere.fr/fiche4/auto-occasion-mg-mg4-ev-170ch-51kwh-my23-38170-seyssinet-pariset-502247;17990;2023;29454;4;Electrique;Automatique;38;3
Mercedes Eqa;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-eqa-250-190ch-amg-line-77100-meaux-8910;33599;2022;29065;6;Electrique;Automatique;77;4
Peugeot 5008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-5008-hybrid-136ch-gt-e-dcs6-74600-seynod-159373;33980;2024;24814;7;Essence;Automatique;74;2
Peugeot 308;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-2-puretech-110ch-s-s-active-pack-01000-bourg-en-bresse-128581;14980;2022;55509;6;Essence;Manuelle;1;4
Citroen C4 X;https://www.autosphere.fr/fiche/auto-occasion-citroen-c4-x-1-2-130ch-s-s-max-automatique-86000-poitiers-12092430;18999;2024;16569;7;Essence;Automatique;86;2
Dacia Jogger;https://www.autosphere.fr/fiche4/auto-occasion-dacia-jogger-1-6-hybrid-140ch-extreme-7-places-24-38110-saint-jean-de-soudain-tdp406906;26586;2025;5417;5;Hybride;Automatique;38;1
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-intense-4wd-2023-51100-reims-247751;31499;2023;10;5;Hybride;Automatique;51;3
Renault Arkana;https://www.autosphere.fr/fiche4/auto-occasion-renault-arkana-e-tech-145-21b-intens-38110-saint-jean-de-soudain-tdp407080;18990;2021;58658;5;Hybride;Automatique;38;5
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-74100-annemasse-121941;14799;2023;30759;5;Essence;Manuelle;74;3
Ford Kuga;https://www.autosphere.fr/fiche/auto-occasion-ford-kuga-2-5-duratec-190ch-fhev-e85-st-line-x-bva-59600-maubeuge-5019487;27699;2022;33545;8;Hybride;Automatique;59;4
Nissan Qashqai;https://www.autosphere.fr/fiche/auto-occasion-nissan-qashqai-1-3-mild-hybrid-140ch-tekna-2022-pack-design-bi-ton-59720-louvroil-003400;24999;2022;48411;7;Essence;Manuelle;59;4
Toyota Yaris;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-120-vvt-i-dynamic-5p-my22-69140-rillieux-la-pape-071752;16999;2022;34891;6;Essence;Manuelle;69;4
Toyota Yaris;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-collection-5p-44400-reze-110430;21799;2022;17905;5;Hybride;Automatique;44;4
Opel Mokka;https://www.autosphere.fr/fiche/auto-occasion-opel-mokka-1-2-turbo-100ch-gs-line-63000-clermont-ferrand-1002236;14599;2021;62998;5;Essence;Manuelle;63;5
Citroen C4;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c4-1-2-hybride-136ch-s-s-plus-automatique-63000-clermont-ferrand-st42706009;33950;2024;5000;7;Essence;Automatique;63;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-5-blue-dci-100ch-evolution-24-26100-romans-sur-isere-120214;17279;2024;44491;5;Diesel;Manuelle;26;2
Peugeot 2008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-2008-1-5-bluehdi-130ch-s-s-allure-pack-eat8-125g-74600-seynod-159607;16898;2008;90946;7;Diesel;Automatique;74;18
Mercedes Classe C;https://www.autosphere.fr/fiche4/auto-occasion-mercedes-classe-c-200-d-163ch-avantgarde-line-51100-reims-r113331;36790;2024;46053;9;Diesel;Automatique;51;2
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-confort-22-02200-soissons-250630;13299;2022;35250;5;Gpl;Manuelle;2;4
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-92000-nanterre-24053;16199;2023;21801;5;Essence;Manuelle;92;3
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-c-series-123g-86000-poitiers-12092897;14599;2023;17747;4;Essence;Manuelle;86;3
Renault Austral;https://www.autosphere.fr/fiche/auto-occasion-renault-austral-1-2-e-tech-full-hybrid-200ch-esprit-alpine-25-73200-albertville-2025b8442;44199;2025;7500;7;Hybride;Automatique;73;1
Audi Q3;https://www.autosphere.fr/fiche/auto-occasion-audi-q3-35-tfsi-150ch-51100-reims-010799;24499;2020;81443;8;Essence;Manuelle;51;6
Toyota C-Hr;https://www.autosphere.fr/fiche/auto-occasion-toyota-c-hr-2-0-hybride-rechargeable-225ch-collection-ng23-69410-champagne-au-mont-d-or-063652;37999;2024;4782;8;Hybride;Automatique;69;2
Ds Ds 7;https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-e-tense-225ch-performance-line-73000-chambery-400303;28980;2022;62450;10;Hybride;Automatique;73;4
Renault Arkana;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-3-tce-mild-hybrid-140ch-evolution-edc-22-51100-reims-948193;18999;2022;35526;7;Essence;Automatique;51;4
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-110ch-tech-edition-s-s-5p-59850-nieppe-250406;10999;2019;23778;5;Essence;Manuelle;59;7
Citroen C4;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c4-puretech-130ch-s-s-shine-eat8-64300-orthez-71294;15499;2021;39900;7;Essence;Automatique;64;5
Ford Puma;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-puma-1-0-ecoboost-125ch-s-s-mhev-titanium-powershift-51100-reims-001587;16439;2022;53100;6;Essence;Automatique;51;4
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-110ch-s-s-shine-eat6-73203-albertville-212078;15970;2023;26960;6;Essence;Automatique;73;3
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-e-208-136ch-e-style-60740-saint-maximin-st42947979;29990;2025;13600;4;Electrique;Automatique;60;1
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-techno-13300-salon-de-provence-302913;26690;2025;15975;5;Hybride;Automatique;13;1
Ds Ds 3 Crossback;https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-73000-chambery-400294;19980;2022;22489;4;Electrique;Automatique;73;4
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-5-bluehdi-100ch-s-s-active-pack-16430-champniers-127746;12999;2023;87639;5;Diesel;Manuelle;16;3
Peugeot 308;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-2-hybrid-145ch-allure-e-dcs6-38300-bourgoin-jallieu-vd383872;34490;2025;10;7;Essence;Automatique;38;1
Peugeot 3008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-hybrid-225ch-allure-pack-e-eat8-63000-clermont-ferrand-1002707;23799;2021;23565;10;Hybride;Automatique;63;5
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-33260-la-teste-de-buch-301006;14999;2024;14399;5;Essence;Manuelle;33;2
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-59400-cambrai-7018370;17999;2023;15209;5;Essence;Manuelle;59;3
Bmw X1;https://www.autosphere.fr/fiche-mixte/auto-occasion-bmw-x1-sdrive18d-150ch-m-sport-59650-villeneuve-d-ascq-2507435;43799;2024;28106;8;Diesel;Automatique;59;2
Subaru Xv;https://www.autosphere.fr/fiche/auto-occasion-subaru-xv-2-0i-150ch-luxury-lineartronic-63000-clermont-ferrand-1002003;15799;2017;92819;8;Essence;Automatique;63;9
Citroen Berlingo;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-berlingo-m-bluehdi-130ch-s-s-feel-pack-38320-eybens-250877;23980;2021;41918;7;Diesel;Manuelle;38;5
Citroen C3 Aircross;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-aircross-1-5-bluehdi-110ch-s-s-you-38320-eybens-250709;18279;2024;16720;6;Diesel;Manuelle;38;2
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-intens-21-57155-marly-226770;18999;2022;70110;5;Hybride;Automatique;57;4
Citroen C4;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c4-electrique-136ch-autonomie-standard-e-series-automatique-38320-eybens-250807;19980;2023;22900;4;Electrique;Automatique;38;3
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-hybrid-136ch-active-e-dcs6-37500-chinon-500168;24499;2008;19487;7;Essence;Automatique;37;18
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-style-eat8-73000-chambery-331156;17990;2008;36439;7;Essence;Automatique;73;18
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-84000-avignon-59470;17499;2024;14964;5;Essence;Automatique;84;2
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-you-08000-charleville-mezieres-180;11911;2024;8445;4;Essence;Manuelle;8;2
Citroen Berlingo;https://www.autosphere.fr/fiche/auto-occasion-citroen-berlingo-m-moteur-electrique-136ch-100-kw-shine-automatique-86000-poitiers-vr7ezzkxzpj646087;34999;2025;2000;4;Electrique;Automatique;86;1
Nissan Juke;https://www.autosphere.fr/fiche4/auto-occasion-nissan-juke-1-6-hybrid-143ch-n-connecta-2024-01000-bourg-en-bresse-159888;21474;2024;22083;5;Hybride;Automatique;1;2
Kia Sportage;https://www.autosphere.fr/fiche4/auto-occasion-kia-sportage-2-0-crdi-136ch-isg-active-4x2-38170-seyssinet-pariset-502215;16490;2016;73629;7;Diesel;Manuelle;38;10
Volkswagen Tiguan;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-tiguan-2-0-tdi-150ch-life-plus-dsg7-16430-champniers-801606;36799;2024;58596;8;Diesel;Automatique;16;2
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-eco-g-100ch-techno-24-13127-vitrolles-30431;18999;2025;14307;5;Gpl;Manuelle;13;1
Renault Master;https://www.autosphere.fr/fiche/auto-occasion-renault-master-f3500-l2h2-2-3-blue-dci-135ch-grand-confort-euro6-93250-villemomble-v123553;25499;2023;43961;8;Diesel;Manuelle;93;3
Peugeot 5008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-5008-hybrid-145ch-allure-e-dcs6-37170-chambray-les-tours-700679;35999;2025;100;7;Essence;Automatique;37;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-active-business-38000-grenoble-115468;14980;2022;52378;4;Electrique;Automatique;38;4
Toyota Yaris;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-gr-sport-5p-my22-69700-givors-081045;22890;2022;23352;5;Hybride;Automatique;69;4
Renault 5;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-5-e-tech-electrique-150ch-techno-autonomie-confort-51100-reims-248231;29799;2025;8098;5;Electrique;Automatique;51;1
Bmw Série 1;https://www.autosphere.fr/fiche-mixte/auto-occasion-bmw-serie-1-120a-170ch-m-sport-dkg7-30000-nimes-2193615;37999;2025;9275;8;Essence;Automatique;30;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-style-84000-avignon-59746;13999;2021;39671;4;Electrique;Automatique;84;5
Hyundai Tucson;https://www.autosphere.fr/fiche/auto-occasion-hyundai-tucson-1-6-t-gdi-230ch-hybrid-creative-bva6-59600-maubeuge-5019525;23499;2021;99903;10;Hybride;Automatique;59;5
Nissan Qashqai;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-1-3-mild-hybrid-158ch-tekna-xtronic-26000-valence-206517;19990;2021;115212;8;Essence;Automatique;26;5
Fiat 500;https://www.autosphere.fr/fiche4/auto-occasion-fiat-500-1-0-firefly-65ch-hybrid-torino-73490-la-ravoire-gmsavd5202;19990;2025;6000;4;Essence;Manuelle;73;1
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-c-series-123g-51100-reims-001057;10980;2023;27800;4;Essence;Manuelle;51;3
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-style-eat8-64200-bassussarry-49867;14299;2021;25149;5;Essence;Automatique;64;5
Bmw Série 1;https://www.autosphere.fr/fiche/auto-occasion-bmw-serie-1-118ia-136ch-m-sport-dkg7-86000-poitiers-2251114;23399;2021;80732;7;Essence;Automatique;86;5
Opel Grandland;https://www.autosphere.fr/fiche/auto-occasion-opel-grandland-1-5-d-130ch-gs-bva8-37540-saint-cyr-sur-loire-103207;24999;2024;17099;7;Diesel;Automatique;37;2
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-intense-design-4wd-62231-coquelles-251039;26799;2023;24990;5;Hybride;Automatique;62;3
Audi A1 Sportback;https://www.autosphere.fr/fiche-mixte/auto-occasion-audi-a1-sportback-30-tfsi-110ch-design-13100-aix-en-provence-95588;20799;2021;39208;6;Essence;Manuelle;13;5
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-24-13127-vitrolles-30228;15999;2024;14238;5;Essence;Manuelle;13;2
Renault Kadjar;https://www.autosphere.fr/fiche/auto-occasion-renault-kadjar-1-6-dci-130ch-energy-armor-lux-02300-chauny-250770;14799;2018;104000;7;Diesel;Manuelle;2;8
Volvo Xc40;https://www.autosphere.fr/fiche/auto-occasion-volvo-xc40-t3-163ch-r-design-geartronic-8-94430-chennevieres-sur-marne-252148;27999;2021;69815;9;Essence;Automatique;94;5
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-roadtrip-74150-rumilly-159700;16490;2022;30399;4;Electrique;Automatique;74;4
Dacia Sandero;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-extreme-24-59300-valenciennes-503000;16999;2024;5515;5;Gpl;Manuelle;59;2
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-60200-compiegne-3014248;14499;2024;20529;5;Essence;Manuelle;60;2
Toyota Yaris;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-gr-sport-5p-my22-92000-nanterre-052186;22499;2022;15301;5;Hybride;Automatique;92;4
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-techno-fast-track-62000-arras-451418;21799;2023;41950;5;Hybride;Automatique;62;3
Renault Twingo;https://www.autosphere.fr/fiche/auto-occasion-renault-twingo-e-tech-electric-equilibre-r80-achat-integral-13100-aix-en-provence-881774;12299;2022;11000;3;Electrique;Automatique;13;4
Bmw X4;https://www.autosphere.fr/fiche/auto-occasion-bmw-x4-xdrive20d-190ch-m-sport-10cv-59113-seclin-2511033;39890;2021;90343;10;Diesel;Automatique;59;5
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-e-2008-136ch-allure-51100-reims-000682;27514;2008;50;4;Electrique;Automatique;51;18
Mg Mg4;https://www.autosphere.fr/fiche-mixte/auto-occasion-mg-mg4-ev-204ch-64kwh-luxury-01000-bourg-en-bresse-128557;21979;2023;47708;5;Electrique;Automatique;1;3
Toyota Aygo X;https://www.autosphere.fr/fiche/auto-occasion-toyota-aygo-x-1-0-vvt-i-72ch-dynamic-69410-champagne-au-mont-d-or-063867;13599;2022;32796;4;Essence;Manuelle;69;4
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-5-bluehdi-100ch-s-s-active-86000-poitiers-12092844;14599;2023;70728;5;Diesel;Manuelle;86;3
Kia Xceed;https://www.autosphere.fr/fiche-mixte/auto-occasion-kia-xceed-1-5-t-gdi-160ch-active-business-dct7-my22-44400-reze-110218;21999;2022;31535;8;Essence;Automatique;44;4
Peugeot 308;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-308-blue-hdi-13-s-s-eat8-gt-74600-seynod-159695;20900;2022;88803;7;Diesel;Automatique;74;4
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-37540-saint-cyr-sur-loire-102679;15499;2024;19242;5;Essence;Manuelle;37;2
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-active-pack-38000-grenoble-115566;13979;2008;40572;5;Essence;Manuelle;38;18
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-business-01000-bourg-en-bresse-128526;11478;2021;40116;4;Essence;Manuelle;1;5
Peugeot 3008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-2-hybrid-145ch-allure-e-dcs6-37540-saint-cyr-sur-loire-ss115051;34880;2025;7000;7;Essence;Automatique;37;1
Renault Austral;https://www.autosphere.fr/fiche/auto-occasion-renault-austral-1-2-e-tech-full-hybrid-200ch-iconic-24-62000-arras-451519;35299;2024;8160;7;Hybride;Automatique;62;2
Volkswagen Golf;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-golf-1-4-ehybrid-245ch-gte-dsg6-79000-niort-421317;28999;2022;57259;8;Hybride;Automatique;79;4
Peugeot 2008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-2008-e-2008-136ch-style-13100-aix-en-provence-95765;15999;2008;52000;4;Electrique;Automatique;13;18
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-84000-avignon-59832;15999;2024;16674;5;Essence;Manuelle;84;2
Fiat 500;https://www.autosphere.fr/fiche/auto-occasion-fiat-500-1-2-8v-69ch-lounge-69700-givors-081063;11790;2020;55685;4;Essence;Manuelle;69;6
Mercedes Vito;https://www.autosphere.fr/fiche/auto-occasion-mercedes-vito-116-cdi-compact-pro-e6-propulsion-77270-villeparisis-118325;28599;2020;93756;7;Diesel;Manuelle;77;6
Peugeot 5008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-5008-hybrid-136ch-allure-e-dcs6-84000-avignon-59573;32999;2024;8628;7;Essence;Automatique;84;2
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12092508;11499;2023;38896;4;Essence;Manuelle;86;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-110ch-gt-e-dcs6-60200-compiegne-1020011;24499;2025;1;5;Essence;Automatique;60;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-style-118g-73000-chambery-330412;12779;2021;29405;5;Essence;Manuelle;73;5
Peugeot Expert;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-expert-m-136ch-100kw-batterie-49-kwh-pack-premium-connect-73203-albertville-vd088978;36990;2025;1000;9;Electrique;Automatique;73;1
Volkswagen T-Roc;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-t-roc-1-0-tsi-110ch-life-business-62800-lievin-637365;21499;2022;46782;6;Essence;Manuelle;62;4
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-pack-60200-compiegne-3014457;11499;2021;24085;4;Essence;Manuelle;60;5
