nom_annonce;url_annonce;prix;annee;kilometrage;puissance_cv;carburant;boite_vitesse;code_postal;age_voiture
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-pack-eat8-79000-niort-1242892;14499;2023;30071;5;Essence;Automatique;79;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-active-pack-73000-chambery-331030;15980;2022;20467;4;Electrique;Automatique;73;4
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-hybrid-145ch-gt-e-dcs6-63000-clermont-ferrand-1002227;30799;2008;10;7;Essence;Automatique;63;18
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-02000-laon-250494;16499;2023;17815;5;Essence;Manuelle;2;3
Dacia Sandero;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-confort-22-26000-valence-441854;13985;2022;61346;5;Essence;Manuelle;26;4
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-gt-eat8-13100-aix-en-provence-95666;19999;2008;35363;7;Essence;Automatique;13;18
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-electrique-210ch-batterie-73-kwh-gt-84000-avignon-59730;36999;2024;8628;7;Electrique;Automatique;84;2
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-86000-poitiers-12092046;15399;2024;15121;5;Essence;Manuelle;86;2
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-5-bluehdi-100ch-s-s-shine-business-e6-d-38320-eybens-250442;12777;2021;49600;5;Diesel;Manuelle;38;5
Peugeot 2008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-2008-1-2-hybrid-136ch-active-e-dcs6-37540-saint-cyr-sur-loire-102943;24999;2008;18614;7;Essence;Automatique;37;18
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-hybrid-110ch-allure-e-dcs6-37540-saint-cyr-sur-loire-102916;23299;2025;5;5;Essence;Automatique;37;1
Renault Zoé;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-limited-charge-normale-r110-achat-integral-54800-jarny-025582;13799;2021;57243;4;Electrique;Automatique;54;5
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-instyle-4wd-64200-bassussarry-49320;29799;2024;851;5;Hybride;Automatique;64;2
Dacia Sandero;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-sce-65ch-essential-59223-roncq-512121;11799;2023;23977;4;Essence;Manuelle;59;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-techno-93250-villemomble-v123511;16499;2023;23616;5;Essence;Manuelle;93;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-37170-chambray-les-tours-500295;16999;2023;11152;5;Essence;Manuelle;37;3
Dacia Jogger;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-jogger-1-6-hybrid-140ch-extreme-7-places-24-10000-troyes-025371;26999;2025;14;5;Hybride;Automatique;10;1
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-pack-eat8-86000-poitiers-12092457;15999;2023;10841;5;Essence;Automatique;86;3
Dacia Sandero;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-eco-g-100ch-confort-59850-nieppe-250731;14499;2021;16642;5;Gpl;Manuelle;59;5
Citroen C4;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c4-moteur-electrique-136ch-100-kw-feel-pack-automatique-51100-reims-001494;17486;2022;34400;4;Électrique;Automatique;51;4
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-essentiel-22-62000-arras-451289;13199;2022;56829;5;Essence;Manuelle;62;4
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-6-hybrid-140ch-extreme-51000-chalons-en-champagne-021841;26899;2025;27014;5;Hybride;Automatique;51;1
Citroen C5 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-puretech-130ch-s-s-shine-eat8-e6-d-38000-grenoble-115513;15936;2020;88093;7;Essence;Automatique;38;6
Citroen C4;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c4-bluehdi-130ch-s-s-feel-pack-eat8-120g-38320-eybens-250943;18979;2022;52827;7;Diesel;Automatique;38;4
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-journey-4x2-51100-reims-048228;18999;2023;41426;5;Gpl;Manuelle;51;3
Peugeot 308;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-5-bluehdi-130ch-s-s-allure-eat8-38300-bourgoin-jallieu-216293;24579;2024;25990;7;Diesel;Automatique;38;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-13730-saint-victoret-46205;21499;2025;14476;5;Hybride;Automatique;13;1
Citroen C3 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c3-aircross-puretech-130ch-s-s-shine-e6-d-eat6-51100-reims-001352;12980;2020;100300;6;Essence;Automatique;51;6
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-21092145;10499;2023;56462;4;Essence;Manuelle;86;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-style-118g-60200-compiegne-3014269;12499;2022;45176;5;Essence;Manuelle;60;4
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-evolution-59640-dunkerque-600983;25499;2025;15439;5;Hybride;Automatique;59;1
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-10000-troyes-025572;15499;2023;19300;5;Essence;Manuelle;10;3
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-hybrid-100ch-style-e-dcs6-37540-saint-cyr-sur-loire-102942;19299;2024;19514;5;Essence;Automatique;37;2
Renault Captur;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-6-e-tech-hybride-rechargeable-160ch-intens-21-25000-besancon-195430;18989;2021;27533;5;Hybride;Automatique;25;5
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-60740-saint-maximin-1019852;14999;2024;9322;5;Essence;Manuelle;60;2
Citroen C3 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c3-aircross-puretech-130ch-s-s-shine-e6-d-eat6-7cv-38320-eybens-250419;10787;2020;102862;7;Essence;Automatique;38;6
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-110ch-s-s-max-37540-saint-cyr-sur-loire-102980;14499;2024;16915;6;Essence;Manuelle;37;2
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12092156;10499;2023;56497;4;Essence;Manuelle;86;3
Mini Mini;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-one-102ch-edition-camden-13300-salon-de-provence-12011;19499;2022;52434;5;Essence;Manuelle;13;4
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-feel-122-123g-59160-lomme-300336;9499;2021;59063;4;Essence;Manuelle;59;5
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-electrique-210ch-batterie-73-kwh-gt-38300-bourgoin-jallieu-216416;37986;2024;12000;7;Electrique;Automatique;38;2
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-110ch-s-s-shine-eat6-51100-reims-001468;15439;2023;13500;6;Essence;Automatique;51;3
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-expression-4x2-51000-chalons-en-champagne-021703;17999;2023;30860;5;Gpl;Manuelle;51;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-3-tce-140ch-techno-13100-aix-en-provence-881658;17799;2023;16843;7;Essence;Manuelle;13;3
