prix_reel,prix_pred,diff
16599,16963.87165928933,364.8716592893288
28499,28683.639441919826,184.6394419198259
24299,21851.011722703104,-2447.988277296896
23489,23084.240600204284,-404.7593997957156
15499,17200.773353249788,1701.7733532497878
29999,28608.712208061566,-1390.2877919384337
14999,15410.378068068669,411.37806806866865
17799,18980.40575561054,1181.40575561054
23499,22220.172383887628,-1278.8276161123722
14980,15582.504446229079,602.5044462290789
14499,18980.40575561054,4481.40575561054
20699,18116.76844146712,-2582.2315585328797
14999,15497.128401463093,498.1284014630928
21499,21742.772928233077,243.77292823307653
18299,17790.50277701526,-508.4972229847408
21499,25542.044370275493,4043.044370275493
23599,21574.70200001425,-2024.297999985749
11999,12318.216850753077,319.21685075307687
20980,20698.00015397772,-281.9998460222814
14999,15582.504446229079,583.5044462290789
15999,15542.446331565878,-456.5536684341223
11979,12380.339167369424,401.3391673694241
19999,24635.639794439943,4636.639794439943
23999,21530.078550049824,-2468.921449950176
13280,12537.275566196611,-742.7244338033888
17999,22428.838576684,4429.838576684
10499,11525.703937504424,1026.7039375044242
15799,17652.534995419115,1853.5349954191151
33299,34644.937702712814,1345.937702712814
15299,15617.276357032522,318.27635703252236
15999,17543.21585147807,1544.2158514780713
14499,15849.312235000129,1350.3122350001286
14499,17476.12460078312,2977.1246007831214
15980,18242.2152995115,2262.2152995114993
30799,30068.39612003472,-730.6038799652815
16499,15479.761127073314,-1019.2388729266859
13985,13317.494167103963,-667.5058328960367
19999,18915.221079902352,-1083.7789200976476
36999,37521.113879541015,522.1138795410152
15399,15775.654972052555,376.6549720525545
12777,14900.653014737132,2123.6530147371323
24999,22866.080367543767,-2132.9196324562326
23299,24305.761876388817,1006.7618763888167
13799,14716.455629616485,917.4556296164847
29799,27550.403199897028,-2248.5968001029723
11799,13956.208541544398,2157.208541544398
16499,15428.08334879127,-1070.9166512087304
16999,15581.56126842102,-1417.4387315789809
26999,27996.45538266967,997.4553826696683
15999,18499.4209873836,2500.4209873836007
14499,15180.916063552113,681.916063552113
17486,17277.850183970328,-208.14981602967237
13199,13819.226236754506,620.2262367545063
26899,25431.035860485368,-1467.9641395146318
15936,17716.99651323205,1780.9965132320503
18979,25096.821982858342,6117.821982858342
18999,16430.23201706044,-2568.76798293956
24579,30355.985118498204,5776.9851184982035
21499,25542.044370275493,4043.044370275493
12980,14942.784825378936,1962.7848253789361
10499,11798.941740053231,1299.9417400532311
12499,15010.777952447532,2511.777952447532
25499,25445.313488042826,-53.686511957173934
15499,15408.859486269175,-90.14051373082475
19299,19061.600965138838,-237.39903486116236
18989,19225.86296920032,236.86296920031964
14999,16125.077937749082,1126.0779377490817
10787,16871.749454208526,6084.749454208526
14499,18643.511793171165,4144.511793171165
10499,11798.941740053231,1299.9417400532311
19499,14709.057261474503,-4789.942738525497
9499,10251.869832802711,752.8698328027112
37986,35334.08910154155,-2651.9108984584527
15439,20746.41286456291,5307.41286456291
17999,16523.428874228444,-1475.5711257715557
17799,22472.552685755018,4673.552685755018
18799,16600.393433545785,-2198.6065664542148
15399,15428.08334879127,29.0833487912696
21999,24184.12275108256,2185.1227510825593
22499,26446.144807760556,3947.1448077605564
18187,17716.54691622957,-470.45308377042966
16980,18405.486599434545,1425.4865994345455
17699,15849.864577808665,-1849.1354221913352
17980,18066.361001127872,86.36100112787244
27999,22267.836058433142,-5731.163941566858
18999,19982.89291782481,983.8929178248109
12499,16781.54628213527,4282.54628213527
21499,25841.186355894544,4342.186355894544
15499,16431.942913300234,932.9429133002341
17480,16499.911305966543,-980.0886940334567
19799,23056.67268859081,3257.67268859081
16499,15680.88111922175,-818.1188807782491
26499,25739.129387154353,-759.870612845647
18986,25211.837887470723,6225.837887470723
14999,15428.08334879127,429.0833487912696
23299,24117.982843280803,818.9828432808026
18999,16919.4658599869,-2079.5341400131
15280,17649.548741442217,2369.548741442217
13299,12307.67181993777,-991.3281800622299
24499,23414.05917495721,-1084.9408250427914
31499,28313.29524968785,-3185.7047503121503
19999,20296.236111426308,297.2361114263076
29480,26982.328858914872,-2497.6711410851276
15499,16431.942913300234,932.9429133002341
19980,24158.13674770262,4178.1367477026215
17900,15680.88111922175,-2219.118880778249
20499,25712.09460058814,5213.0946005881415
10799,12666.984173518313,1867.9841735183127
15299,13667.680772571326,-1631.319227428674
17499,19982.89291782481,2483.892917824811
21999,17662.17271400333,-4336.827285996671
18969,16777.414050993244,-2191.585949006756
13279,15117.868136111709,1838.8681361117087
12990,13687.282467154222,697.2824671542221
19499,21407.291560195623,1908.2915601956229
17280,18370.099827701288,1090.0998277012877
20999,18395.511817092196,-2603.488182907804
