prix_reel,prix_pred,diff
16599,17282.579223812365,683.579223812365
28499,26741.888980473796,-1757.1110195262045
24299,21179.86925601596,-3119.1307439840384
23489,22923.918270675927,-565.0817293240725
15499,18985.53574629473,3486.5357462947286
29999,25934.457340136065,-4064.542659863935
14999,15426.455603097238,427.45560309723805
17799,22580.297776351083,4781.297776351083
23499,20723.876781154584,-2775.123218845416
14980,16440.469927851256,1460.4699278512562
14499,22495.6761197218,7996.6761197218
20699,17839.24300373387,-2859.756996266129
14999,16148.29292408581,1149.2929240858102
21499,19397.04324840264,-2101.9567515973613
18299,16989.202736101703,-1309.7972638982974
21499,25392.197873804747,3893.1978738047474
23599,20756.031475829644,-2842.9685241703555
11999,12490.438043543729,491.4380435437288
20980,20345.28125672499,-634.7187432750106
14999,16602.418270710747,1603.4182707107466
15999,15919.460579952342,-79.5394200476585
11979,9978.909579022311,-2000.090420977689
19999,25464.526224313133,5465.526224313133
23999,22131.18382230461,-1867.8161776953893
13280,8984.430402956372,-4295.569597043628
17999,23895.12148650946,5896.121486509459
10499,8176.78702444764,-2322.21297555236
15799,19827.98324454802,4028.9832445480206
33299,28013.280355766954,-5285.719644233046
15299,16248.477184233121,949.4771842331211
15999,18260.516806580818,2261.5168065808175
14499,18037.703696728953,3538.703696728953
14499,19758.802608596787,5259.802608596787
15980,21793.424170081027,5813.424170081027
30799,25067.22125797838,-5731.778742021619
16499,17294.94068798058,795.9406879805792
13985,11758.77421283933,-2226.2257871606707
19999,20768.903116002803,769.9031160028026
36999,31679.943517969867,-5319.056482030133
15399,17866.0287266707,2467.0287266706982
12777,17355.27042963239,4578.27042963239
24999,22805.294102904874,-2193.7058970951257
23299,23901.400011116995,602.4000111169953
13799,17078.549779035755,3279.549779035755
29799,26770.32592574774,-3028.6740742522597
11799,13892.409771406157,2093.4097714061572
16499,16589.63863322991,90.63863322991165
16999,18105.04715079797,1106.047150797971
26999,27115.634630586457,116.6346305864572
15999,22096.84062150065,6097.840621500651
14499,18684.449291042212,4185.449291042212
17486,20678.772466995964,3192.7724669959644
13199,12307.96390104977,-891.0360989502296
26899,23832.897951002247,-3066.1020489977527
15936,17280.366376874103,1344.3663768741026
18979,26467.122593419786,7488.122593419786
18999,16158.227920407091,-2840.772079592909
24579,30217.129005629722,5638.129005629722
21499,25357.303598729166,3858.303598729166
12980,13142.867192592774,162.8671925927738
10499,9942.791214506411,-556.208785493589
12499,13724.768735390318,1225.7687353903184
25499,25240.219323823996,-258.7806761760039
15499,17114.390170603445,1615.3901706034449
19299,21285.896518085818,1986.8965180858177
18989,22795.62098596381,3806.620985963811
14999,18571.087615741395,3572.087615741395
